fecha_hora,demanda_predicha
2025-09-15 00:00:00,7699491.3361984175
2025-09-15 01:00:00,11031138.283108165
2025-09-15 02:00:00,10601675.276928214
2025-09-15 03:00:00,10249052.897315659
2025-09-15 04:00:00,6483816.2759552095
2025-09-15 05:00:00,5970311.197281649
2025-09-15 06:00:00,5763652.638806119
2025-09-15 07:00:00,5268190.747281837
2025-09-15 08:00:00,4885066.512853249
2025-09-15 09:00:00,4854471.9248849545
2025-09-15 10:00:00,5298245.266202377
2025-09-15 11:00:00,6826165.675894402
2025-09-15 12:00:00,6833037.923990509
2025-09-15 13:00:00,7250759.166439468
2025-09-15 14:00:00,5008730.501056809
2025-09-15 15:00:00,3956698.8646897343
2025-09-15 16:00:00,5003402.082933124
2025-09-15 17:00:00,4579031.690656513
2025-09-15 18:00:00,4916599.539192347
2025-09-15 19:00:00,5149790.174653128
2025-09-15 20:00:00,5591202.027919475
2025-09-15 21:00:00,5854339.666508816
2025-09-15 22:00:00,5982720.044752492
2025-09-15 23:00:00,6122809.011101725
